id,name,duration,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,3.33,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0.514
7qiZfU4dY1lWllzX7mPBI3,Shape of You,3.9,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,0.825
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,3.49,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,0.824
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,3.04,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,0.501
0e7ipj03S05BNilyu5bRzt,Rockstar,3.64,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,0.585
3KkXRkHbMCARz0aVfEt68P,Sunflower,2.63,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,0.76
1zi7xx7UVEFkmKfv06H8x0,One Dance,2.9,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,0.792
7BKLCZ1jbUBVqRi2FVlTVw,Closer,4.08,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,0.748
789CxjEOtO76BVD1A9yJQH,Stay,4.01,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,0.621
0pqnGHJpmpxLKifKRmU6WP,Believer,3.41,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,0.776
6v3KW9xbzN5yKLt9YKDYA2,Señorita,3.18,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,0.759
41P6Tnd8KIHqON0QIydx6a,Perfect,2.96,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,0.634
02MWAaffLxlfxAUY7c5dvx,Heat Waves,3.98,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,0.761
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,3.52,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,0.358
7MXVkk9YMctZqd1Srtv4MB,Starboy,3.84,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,0.679
2Fxmhks0bxGSBdJ92vM42m,Bad Guy,3.23,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,0.701
0UduxLm2YxJcRMMX1K6E7E,Thinking Out Loud,4.69,0.445,2,-6.061,1,0.0296,0.474,0.0,0.184,0.591,78.997,0.781
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,4.0,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,0.511
6o6urrgOIVbIzzmO4KJHCO,Don't Start Now,3.02,0.185,11,-12.205,0,0.0484,0.876,0.459,0.237,0.707,78.775,0.498
0u2P5u6lvoDfwTYjAADbn4,Lovely,3.34,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,0.351
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,2.9,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.548
6DCZcSspjsKoFjzjrWoCdn,God's Plan,3.32,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,0.754
4cj6Ti4wOXZ5ZdWlUZxRSP,Photograph,4.32,0.379,4,-10.48,1,0.0359,0.607,0.000472,0.0986,0.22,108.033,0.718
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody,5.91,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,0.392
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,4.12,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,0.617
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,4.01,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,0.612
2VxeLyX666F8uXCJ0dZF8B,Shallow,3.6,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,0.572
4LRPiXqCikLlN15c3yImP7,As It Was,2.79,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,0.52
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,3.9,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,0.609
21jGcNKet2qwijlDFuPiPb,Circles,3.59,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,0.695
3ee8Jmje8o58CHK66QrVC2,Sad!,2.78,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,0.74
1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,4.03,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,0.566
3U4isOIWM3VvDubwSI3y7a,All of Me,4.49,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,0.422
57bgtoPSgt236HzfBOd8kj,Thunder,4.88,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,0.502
6ocbgoVGwYJhOv1GgI9NsF,7 Rings,2.98,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,0.778
6gBFPUFcJLzWGx4lenP6h2,Goosebumps,4.06,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,0.841
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,1.99,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,0.872
1rfofaqEpACxVEHIZBJe6W,Havana,3.62,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,0.765
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,3.37,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,0.734
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,3.05,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,0.732
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,4.3,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,0.664
67WK7JasAfTIDXs8ofPqx1,New Rules,3.49,0.7,9,-6.021,0,0.0694,0.00265,1.55e-05,0.153,0.608,116.078,0.762
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,4.12,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,0.532
3JvrhDOgAt6p7K8mDyZwRd,Riptide,3.4,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,0.484
0O6u0VJ46W86TxN9wgyqDj,Happier,3.21,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,0.733
7KXjTSCq5nL1LoYtL7XAwS,Humble,2.95,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,0.908
1KxwZYyzWNyZSRyErj2ojT,Let Her Go,4.21,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,0.479
7fBv7CLKzipRk6EC6TWHOB,The Hills,4.04,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,0.585
2xLMifQCjDGFmkHkpNLD9h,Sicko Mode,5.21,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,0.834
7GRu6XaTVRIdV4E0Ty4QGX,Can't Hold Us,1.52,0.871,10,-6.351,1,0.0752,0.000744,0.00498,0.253,0.219,128.044,0.556
4ZtFanR9U6ndgddUvNcjcG,Good 4 U,2.97,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,0.563
4VHkjPgAis9JNfc1URn7zZ,Sorry,3.1,0.643,6,-7.811,0,0.0984,8.47e-05,0.0,0.203,0.492,141.961,0.73
7ef4DlsgrMEH11cDZd32M6,One Kiss,3.58,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,0.791
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,3.43,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,0.649
5wANPM4fQCJwkGd4rN57mH,Drivers License,4.03,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,0.561
